CURSAT ver 2.1 Edition #1   Date:         03-05-2020      Hour:       14:58:39
Input file:   incidence.txt
Accumulation pseudoreplicates' file:      accum_incidence_boot.txt
Dataset pseudoreplicates' file:           pseud_incidence_boot.txt
Number of columns (sampling events):       10 
Number of rows (species, OTUs, ojects,...):              12 
Number of repetitions:       100 
Seed number:  12348695

Bootstrap (resampling with replacement)

Bootstrap replicate	Sampling event	Accumulation per n. of events	
 37 	 5 	 11 	
 37 	 6 	 11 	
 37 	 7 	 12 	
 37 	 8 	 12 	
 37 	 9 	 12 	
 37 	 10 	 12 	
 38 	 1 	 4 	
 38 	 2 	 9 	
 38 	 3 	 9 	
 38 	 4 	 10 	
 38 	 5 	 11 	
 38 	 6 	 11 	
 38 	 7 	 11 	
 38 	 8 	 12 	
 38 	 9 	 12 	
 38 	 10 	 12 	
 39 	 1 	 6 	
 39 	 2 	 8 	
 39 	 3 	 10 	
 39 	 4 	 12 	
 39 	 5 	 12 	
 39 	 6 	 12 	
 39 	 7 	 12 	
 39 	 8 	 12 	
 39 	 9 	 12 	
 39 	 10 	 12 	
 40 	 1 	 7 	
 40 	 2 	 10 	
 40 	 3 	 12 	
 40 	 4 	 12 	
 40 	 5 	 12 	
 40 	 6 	 12 	
 40 	 7 	 12 	
 40 	 8 	 12 	
 40 	 9 	 12 	
 40 	 10 	 12 	
 41 	 1 	 3 	
 41 	 2 	 8 	
 41 	 3 	 11 	
 41 	 4 	 11 	
 41 	 5 	 12 	
 41 	 6 	 12 	
 41 	 7 	 12 	
 41 	 8 	 12 	
 41 	 9 	 12 	
 41 	 10 	 12 	
 42 	 1 	 3 	
 42 	 2 	 7 	
 42 	 3 	 11 	
 42 	 4 	 11 	
 42 	 5 	 11 	
 42 	 6 	 11 	
 42 	 7 	 11 	
 42 	 8 	 11 	
 42 	 9 	 12 	
 42 	 10 	 12 	
 43 	 1 	 6 	
 43 	 2 	 10 	
 43 	 3 	 10 	
 43 	 4 	 12 	
 43 	 5 	 12 	
 43 	 6 	 12 	
 43 	 7 	 12 	
 43 	 8 	 12 	
 43 	 9 	 12 	
 43 	 10 	 12 	
 44 	 1 	 6 	
 44 	 2 	 8 	
 44 	 3 	 9 	
 44 	 4 	 10 	
 44 	 5 	 11 	
 44 	 6 	 11 	
 44 	 7 	 11 	
 44 	 8 	 11 	
 44 	 9 	 11 	
 44 	 10 	 11 	
 45 	 1 	 6 	
 45 	 2 	 8 	
 45 	 3 	 11 	
 45 	 4 	 11 	
 45 	 5 	 11 	
 45 	 6 	 12 	
 45 	 7 	 12 	
 45 	 8 	 12 	
 45 	 9 	 12 	
 45 	 10 	 12 	
 46 	 1 	 6 	
 46 	 2 	 8 	
 46 	 3 	 8 	
 46 	 4 	 9 	
 46 	 5 	 9 	
 46 	 6 	 12 	
 46 	 7 	 12 	
 46 	 8 	 12 	
 46 	 9 	 12 	
 46 	 10 	 12 	
 47 	 1 	 3 	
 47 	 2 	 6 	
 47 	 3 	 11 	
 47 	 4 	 12 	
 47 	 5 	 12 	
 47 	 6 	 12 	
 47 	 7 	 12 	
 47 	 8 	 12 	
 47 	 9 	 12 	
 47 	 10 	 12 	
 48 	 1 	 6 	
 48 	 2 	 9 	
 48 	 3 	 9 	
 48 	 4 	 11 	
 48 	 5 	 11 	
 48 	 6 	 12 	
 48 	 7 	 12 	
 48 	 8 	 12 	
 48 	 9 	 12 	
 48 	 10 	 12 	
 49 	 1 	 7 	
 49 	 2 	 9 	
 49 	 3 	 11 	
 49 	 4 	 12 	
 49 	 5 	 12 	
 49 	 6 	 12 	
 49 	 7 	 12 	
 49 	 8 	 12 	
 49 	 9 	 12 	
 49 	 10 	 12 	
 50 	 1 	 6 	
 50 	 2 	 9 	
 50 	 3 	 9 	
 50 	 4 	 11 	
 50 	 5 	 11 	
 50 	 6 	 12 	
 50 	 7 	 12 	
 50 	 8 	 12 	
 50 	 9 	 12 	
 50 	 10 	 12 	
 51 	 1 	 4 	
 51 	 2 	 4 	
 51 	 3 	 4 	
 51 	 4 	 7 	
 51 	 5 	 7 	
 51 	 6 	 9 	
 51 	 7 	 9 	
 51 	 8 	 11 	
 51 	 9 	 11 	
 51 	 10 	 11 	
 52 	 1 	 4 	
 52 	 2 	 9 	
 52 	 3 	 12 	
 52 	 4 	 12 	
 52 	 5 	 12 	
 52 	 6 	 12 	
 52 	 7 	 12 	
 52 	 8 	 12 	
 52 	 9 	 12 	
 52 	 10 	 12 	
 53 	 1 	 3 	
 53 	 2 	 5 	
 53 	 3 	 7 	
 53 	 4 	 9 	
 53 	 5 	 11 	
 53 	 6 	 11 	
 53 	 7 	 11 	
 53 	 8 	 11 	
 53 	 9 	 11 	
 53 	 10 	 11 	
 54 	 1 	 6 	
 54 	 2 	 10 	
 54 	 3 	 11 	
 54 	 4 	 11 	
 54 	 5 	 12 	
 54 	 6 	 12 	
 54 	 7 	 12 	
 54 	 8 	 12 	
 54 	 9 	 12 	
 54 	 10 	 12 	
 55 	 1 	 6 	
 55 	 2 	 11 	
 55 	 3 	 12 	
 55 	 4 	 12 	
 55 	 5 	 12 	
 55 	 6 	 12 	
 55 	 7 	 12 	
 55 	 8 	 12 	
 55 	 9 	 12 	
 55 	 10 	 12 	
 56 	 1 	 7 	
 56 	 2 	 8 	
 56 	 3 	 11 	
 56 	 4 	 12 	
 56 	 5 	 12 	
 56 	 6 	 12 	
 56 	 7 	 12 	
 56 	 8 	 12 	
 56 	 9 	 12 	
 56 	 10 	 12 	
 57 	 1 	 5 	
 57 	 2 	 5 	
 57 	 3 	 8 	
 57 	 4 	 10 	
 57 	 5 	 12 	
 57 	 6 	 12 	
 57 	 7 	 12 	
 57 	 8 	 12 	
 57 	 9 	 12 	
 57 	 10 	 12 	
 58 	 1 	 8 	
 58 	 2 	 8 	
 58 	 3 	 9 	
 58 	 4 	 9 	
 58 	 5 	 12 	
 58 	 6 	 12 	
 58 	 7 	 12 	
 58 	 8 	 12 	
 58 	 9 	 12 	
 58 	 10 	 12 	
 59 	 1 	 6 	
 59 	 2 	 9 	
 59 	 3 	 10 	
 59 	 4 	 10 	
 59 	 5 	 11 	
 59 	 6 	 12 	
 59 	 7 	 12 	
 59 	 8 	 12 	
 59 	 9 	 12 	
 59 	 10 	 12 	
 60 	 1 	 6 	
 60 	 2 	 8 	
 60 	 3 	 11 	
 60 	 4 	 11 	
 60 	 5 	 11 	
 60 	 6 	 12 	
 60 	 7 	 12 	
 60 	 8 	 12 	
 60 	 9 	 12 	
 60 	 10 	 12 	
 61 	 1 	 6 	
 61 	 2 	 10 	
 61 	 3 	 10 	
 61 	 4 	 10 	
 61 	 5 	 10 	
 61 	 6 	 10 	
 61 	 7 	 12 	
 61 	 8 	 12 	
 61 	 9 	 12 	
 61 	 10 	 12 	
 62 	 1 	 7 	
 62 	 2 	 10 	
 62 	 3 	 11 	
 62 	 4 	 11 	
 62 	 5 	 12 	
 62 	 6 	 12 	
 62 	 7 	 12 	
 62 	 8 	 12 	
 62 	 9 	 12 	
 62 	 10 	 12 	
 63 	 1 	 3 	
 63 	 2 	 8 	
 63 	 3 	 10 	
 63 	 4 	 12 	
 63 	 5 	 12 	
 63 	 6 	 12 	
 63 	 7 	 12 	
 63 	 8 	 12 	
 63 	 9 	 12 	
 63 	 10 	 12 	
 64 	 1 	 4 	
 64 	 2 	 9 	
 64 	 3 	 10 	
 64 	 4 	 11 	
 64 	 5 	 11 	
 64 	 6 	 11 	
 64 	 7 	 11 	
 64 	 8 	 11 	
 64 	 9 	 12 	
 64 	 10 	 12 	
 65 	 1 	 7 	
 65 	 2 	 11 	
 65 	 3 	 12 	
 65 	 4 	 12 	
 65 	 5 	 12 	
 65 	 6 	 12 	
 65 	 7 	 12 	
 65 	 8 	 12 	
 65 	 9 	 12 	
 65 	 10 	 12 	
 66 	 1 	 6 	
 66 	 2 	 8 	
 66 	 3 	 8 	
 66 	 4 	 9 	
 66 	 5 	 9 	
 66 	 6 	 11 	
 66 	 7 	 12 	
 66 	 8 	 12 	
 66 	 9 	 12 	
 66 	 10 	 12 	
 67 	 1 	 4 	
 67 	 2 	 4 	
 67 	 3 	 7 	
 67 	 4 	 9 	
 67 	 5 	 9 	
 67 	 6 	 9 	
 67 	 7 	 11 	
 67 	 8 	 12 	
 67 	 9 	 12 	
 67 	 10 	 12 	
 68 	 1 	 4 	
 68 	 2 	 6 	
 68 	 3 	 7 	
 68 	 4 	 7 	
 68 	 5 	 9 	
 68 	 6 	 9 	
 68 	 7 	 9 	
 68 	 8 	 9 	
 68 	 9 	 11 	
 68 	 10 	 11 	
 69 	 1 	 3 	
 69 	 2 	 9 	
 69 	 3 	 12 	
 69 	 4 	 12 	
 69 	 5 	 12 	
 69 	 6 	 12 	
 69 	 7 	 12 	
 69 	 8 	 12 	
 69 	 9 	 12 	
 69 	 10 	 12 	
 70 	 1 	 6 	
 70 	 2 	 10 	
 70 	 3 	 12 	
 70 	 4 	 12 	
 70 	 5 	 12 	
 70 	 6 	 12 	
 70 	 7 	 12 	
 70 	 8 	 12 	
 70 	 9 	 12 	
 70 	 10 	 12 	
 71 	 1 	 6 	
 71 	 2 	 6 	
 71 	 3 	 11 	
 71 	 4 	 11 	
 71 	 5 	 11 	
 71 	 6 	 12 	
 71 	 7 	 12 	
 71 	 8 	 12 	
 71 	 9 	 12 	
 71 	 10 	 12 	
 72 	 1 	 7 	
 72 	 2 	 7 	
 72 	 3 	 8 	
 72 	 4 	 10 	
 72 	 5 	 10 	
 72 	 6 	 10 	
 72 	 7 	 10 	
 72 	 8 	 10 	
 72 	 9 	 12 	
 72 	 10 	 12 	
 73 	 1 	 5 	
 73 	 2 	 12 	
 73 	 3 	 12 	
 73 	 4 	 12 	
 73 	 5 	 12 	
 73 	 6 	 12 	
 73 	 7 	 12 	
 73 	 8 	 12 	
 73 	 9 	 12 	
 73 	 10 	 12 	
 74 	 1 	 5 	
 74 	 2 	 9 	
 74 	 3 	 9 	
 74 	 4 	 9 	
 74 	 5 	 11 	
 74 	 6 	 11 	
 74 	 7 	 11 	
 74 	 8 	 12 	
 74 	 9 	 12 	
 74 	 10 	 12 	
 75 	 1 	 5 	
 75 	 2 	 9 	
 75 	 3 	 10 	
 75 	 4 	 12 	
 75 	 5 	 12 	
 75 	 6 	 12 	
 75 	 7 	 12 	
 75 	 8 	 12 	
 75 	 9 	 12 	
 75 	 10 	 12 	
 76 	 1 	 3 	
 76 	 2 	 8 	
 76 	 3 	 10 	
 76 	 4 	 12 	
 76 	 5 	 12 	
 76 	 6 	 12 	
 76 	 7 	 12 	
 76 	 8 	 12 	
 76 	 9 	 12 	
 76 	 10 	 12 	
 77 	 1 	 6 	
 77 	 2 	 9 	
 77 	 3 	 11 	
 77 	 4 	 11 	
 77 	 5 	 12 	
 77 	 6 	 12 	
 77 	 7 	 12 	
 77 	 8 	 12 	
 77 	 9 	 12 	
 77 	 10 	 12 	
 78 	 1 	 7 	
 78 	 2 	 11 	
